Name,Type,SubType,AOR,Execution,Account,Platform,Incoming,I. Number,Outgoing1,Varo1,Outgoing2,VarO2,Outgoing3,VarO3,Outgoing4,VarO5,Outgoing5,VarO5,Monitoring,Monitored Data,Description,Ø Cost,Metric,Effective Cost,LastUpdate,NextUpdate,KPI
HP Reminder Mail 1,Action,Mail,,Automatic,recrutement@wesser.fr,Team Tailor,HP Call 1,50,HP Call 2,0.5,HP Interview Callback,0.5,,,,,,,Team Tailor,,"Automatic Mail, trigered on Team Tailor when if applicant did not respond",0.1,Euro,5,,,
HP Call 2,Action,Call,,Noemie,recrutement@wesser.fr,Aircall,HP Reminder Mail 1,25,HP Interview,0.5,HP Reminder Mail 2,0.5,,,,,,,Team Tailor,,Waiting for someone to pick up the phone takes on average half a minute,0.5,Minutes,0.5,,,
HP Reminder Mail 2,Action,Mail,,Automatic,recrutement@wesser.fr,Team Tailor,HP Call 2,12.5,HP Call 3,0.5,HP Interview Callback,0.5,,,,,,,Team Tailor,,"Automatic Mail, trigered on Team Tailor when if applicant did not respond",0.1,Euro,1.25,,,
HP Call 3,Action,Call,,Noemie,recrutement@wesser.fr,Aircall,HP Reminder Mail 2,6.25,HP Interview,0.5,HP Reminder Mail 3,0.5,,,,,,,Team Tailor,,Waiting for someone to pick up the phone takes on average half a minute,0.5,Minutes,0.5,,,
HP Reminder Mail 3,Action,Mail,,Automatic,recrutement@wesser.fr,Team Tailor,HP Call 3,3.125,HP Call 4,0.5,HP Interview Callback,0.5,,,,,,,Team Tailor,,"Automatic Mail, trigered on Team Tailor when if applicant did not respond",0.1,Euro,0.3125,,,
HP Call 4,Action,Call,,Noemie,recrutement@wesser.fr,Aircall,HP Reminder Mail 3,1.5625,HP Interview,0.5,HP Reminder Mail 4,0.5,,,,,,,Team Tailor,,Waiting for someone to pick up the phone takes on average half a minute,0.5,Minutes,0.5,,,
HP Reminder Mail 4,Action,Mail,,Automatic,recrutement@wesser.fr,Team Tailor,HP Call 4,0.78125,HP Ghost,0.5,HP Interview Callback,0.5,,,,,,,Team Tailor,,"Automatic Mail, trigered on Team Tailor when if applicant did not respond",0.1,Euro,0.078125,,,
HP Interview Callback,Action,Call,,Applicant,recrutement@wesser.fr,Aircall,,33.203125,HP Interview,0.5,,,,,,,,,Team Tailor,,Applicant Calls back,,,0,,,
HP Interview,Decision,Checkpoint,,Noemie,recrutement@wesser.fr,Aircall,,98.828125,HP Job Offer Accept,0.8,HP Call Rejection,0.2,,,,,,,Team Tailor,Note taking during call,"Explaining the job once more, offering the job, Candidate is good",15,Minutes,1482.421875,,,
HP Job Offer Accept,State,Checkpoint,,Noemie,recrutement@wesser.fr,Aircall,HP Interview,79.0625,Starting date definition,1,,,,,,,,,Team Tailor,,Candidate is good,,,0,,,
HP Call Rejection,State,Out,,Noemie,recrutement@wesser.fr,Team Tailor,HP Interview,19.765625,,,,,,,,,,,Team Tailor,,Candidate is bad or refuses,,,0,,,
HP Ghost,State,Out,,Automatic,recrutement@wesser.fr,Team Tailor,HP Reminder Mail 4,1.171875,,,,,,,,,,,Team Tailor,,Automatic Deletion after 10 days,0.1,Euro,0.1171875,,,
MP Call 1,Action,Call,,Noemie,recrutement@wesser.fr,Aircall,Medium Potential Candidate,200,MP Interview,0.5,MP Reminder Mail 1,0.5,,,,,,,Team Tailor,Note taking during call,Waiting for someone to pick up the phone takes on average half a minute,0.5,Minutes,0.5,,,
MP Reminder Mail 1,Action,Mail,,Automatic,recrutement@wesser.fr,Team Tailor,MP Call 1,100,MP Call 2,0.5,MP Interview Callback,0.5,,,,,,,Team Tailor,,"Automatic Mail, trigered on Team Tailor when if applicant did not respond",0.1,Euro,10,,,
MP Call 2,Action,Call,,Noemie,recrutement@wesser.fr,Aircall,MP Reminder Mail 1,50,MP Interview,0.5,MP Reminder Mail 2,0.5,,,,,,,Team Tailor,,Waiting for someone to pick up the phone takes on average half a minute,0.5,Minutes,0.5,,,
MP Reminder Mail 2,Action,Mail,,Automatic,recrutement@wesser.fr,Team Tailor,MP Call 2,25,MP Call 3,0.5,MP Interview Callback,0.5,,,,,,,Team Tailor,,"Automatic Mail, trigered on Team Tailor when if applicant did not respond",0.1,Euro,2.5,,,
MP Call 3,Action,Call,,Noemie,recrutement@wesser.fr,Aircall,MP Reminder Mail 2,12.5,MP Interview,0.5,MP Reminder Mail 3,0.5,,,,,,,Team Tailor,,Waiting for someone to pick up the phone takes on average half a minute,0.5,Minutes,0.5,,,
MP Reminder Mail 3,Action,Mail,,Automatic,recrutement@wesser.fr,Team Tailor,MP Call 3,6.25,MP Ghost,0.5,MP Interview Callback,0.5,,,,,,,Team Tailor,,"Automatic Mail, trigered on Team Tailor when if applicant did not respond",0.1,Euro,0.625,,,
MP Interview Callback,Action,Call,,Applicant,recrutement@wesser.fr,Aircall,,65.625,MP Interview,0.5,,,,,,,,,Team Tailor,,Applicant Calls back,,,0,,,
MP Interview,Decision,Checkpoint,,Noemie,recrutement@wesser.fr,Aircall,,196.875,MP Job Offer Accept,0.6,MP Call Rejection,0.4,,,,,,,Team Tailor,Note taking during call,"Explaining the job once more, offering the job, Candidate is good",15,Minutes,2953.125,,,
MP Job Offer Accept,State,Checkpoint,,Noemie,recrutement@wesser.fr,Aircall,MP Interview,118.125,Starting date definition,1,,,,,,,,,Team Tailor,,Candidate is good,,,0,,,
MP Call Rejection,State,Out,,Noemie,recrutement@wesser.fr,Team Tailor,MP Interview,78.75,,,,,,,,,,,Team Tailor,,Candidate is bad or refuses,,,0,,,
MP Ghost,State,Out,,Automatic,recrutement@wesser.fr,Team Tailor,MP Reminder Mail 3,3.125,,,,,,,,,,,Team Tailor,,Automatic Deletion after 10 days,0.1,Euro,0.3125,,,
LP Call 1,Action,Call,,Noemie,recrutement@wesser.fr,Aircall,Low Potential Candidate,100,LP Interview,0.5,LP Reminder Mail 1,0.5,,,,,,,Team Tailor,Note taking during call,Waiting for someone to pick up the phone takes on average half a minute,0.5,Minutes,0.5,,,
LP Reminder Mail 1,Action,Mail,,Automatic,recrutement@wesser.fr,Team Tailor,LP Call 1,50,LP Call 2,0.5,LP Interview Callback,0.5,,,,,,,Team Tailor,,"Automatic Mail, trigered on Team Tailor when if applicant did not respond",0.1,Euro,5,,,
LP Call 2,Action,Call,,Noemie,recrutement@wesser.fr,Aircall,LP Reminder Mail 1,25,LP Interview,0.5,LP Reminder Mail 2,0.5,,,,,,,Team Tailor,,Waiting for someone to pick up the phone takes on average half a minute,0.5,Minutes,0.5,,,
LP Reminder Mail 2,Action,Mail,,Automatic,recrutement@wesser.fr,Team Tailor,LP Call 2,12.5,LP Ghost,0.5,LP Interview Callback,0.5,,,,,,,Team Tailor,,"Automatic Mail, trigered on Team Tailor when if applicant did not respond",0.1,Euro,1.25,,,
LP Interview Callback,Action,Call,,Applicant,recrutement@wesser.fr,Aircall,,31.25,LP Interview,0.5,,,,,,,,,Team Tailor,,Applicant Calls back,,,0,,,
LP Interview,Decision,Checkpoint,,Noemie,recrutement@wesser.fr,Aircall,,93.75,LP Job Offer Accept,0.4,LP Call Rejection,0.6,,,,,,,Team Tailor,Note taking during call,"Explaining the job once more, offering the job, Candidate is good",15,Minutes,1406.25,,,
LP Job Offer Accept,State,Checkpoint,,Noemie,recrutement@wesser.fr,Aircall,LP Interview,37.5,Starting date definition,1,,,,,,,,,Team Tailor,,Candidate is good,,,0,,,
LP Call Rejection,State,Out,,Noemie,recrutement@wesser.fr,Team Tailor,LP Interview,56.25,,,,,,,,,,,Team Tailor,,Candidate is bad or refuses,,,0,,,
LP Ghost,State,Out,,Automatic,recrutement@wesser.fr,Team Tailor,LP Reminder Mail 2,6.25,,,,,,,,,,,Team Tailor,,Automatic Deletion after 10 days,0.1,Euro,0.625,,,
Starting date definition,Decision,State,,Noemie,recrutement@wesser.fr,Team Tailor,,234.6875,GS Onboarding Update,1,Inscription Onboarding,1,Make PayFit Profile,1,,,,,,,,,,,,,
GS Onboarding Update,Resource,DB,,Noemie,,,,234.6875,,,,,,,,,,,,,,,,,,,
Inscription Onboarding,Action,Mail,,Noemie,,,,234.6875,,,,,,,,,,,,,,,,,,,
Make PayFit Profile,Action,Manual ,,Noemie,,,,234.6875,,,,,,,,,,,,,,,,,,,
